PROPERTY_CITY,PROPERTY_STATE,PAID_LISTING_COUNT,PAID_LIVE_LISTING_COUNT,PAID_LIVE_NOT_HIDDEN_LISTING_COUNT
San Diego,California,6035,2477,2203
Houston,Texas,4665,1330,1246
Seattle,Washington,4618,1940,1678
Denver,Colorado,4596,1766,1578
Atlanta,Georgia,4284,1199,1106
Portland,Oregon,4195,1952,1719
Los Angeles,California,3972,1459,1309
Phoenix,Arizona,3800,1732,1609
Austin,Texas,3380,1485,1350
Nashville,Tennessee,3259,1244,1125
New Orleans,Louisiana,3191,1229,1120
Las Vegas,Nevada,3033,1073,996
San Francisco,California,2867,1097,968
Tucson,Arizona,2631,1453,1342
Chicago,Illinois,2618,1137,1002
Albuquerque,New Mexico,2613,1310,1201
San Antonio,Texas,2591,949,872
Charlotte,North Carolina,2518,1085,1014
Washington,District of Columbia,2487,1047,971
Oakland,California,2408,894,829
Baltimore,Maryland,2388,913,825
Scottsdale,Arizona,2298,990,934
Sacramento,California,2244,846,758
Dallas,Texas,2070,786,728
Colorado Springs,Colorado,2023,828,751
Brooklyn,New York,2002,669,622
Tampa,Florida,1817,757,715
Philadelphia,Pennsylvania,1801,669,611
Saint Petersburg,Florida,1716,785,712
Tacoma,Washington,1680,755,686
Indianapolis,Indiana,1677,937,871
Miami,Florida,1605,634,600
Anchorage,Alaska,1591,630,543
San Jose,California,1582,667,606
Boise,Idaho,1518,692,624
Orlando,Florida,1515,570,530
Saint Louis,Missouri,1515,734,705
New York,New York,1491,681,631
Jacksonville,Florida,1428,540,497
Charleston,South Carolina,1394,625,557
Boston,Massachusetts,1392,684,597
Columbus,Ohio,1346,673,608
Reno,Nevada,1332,454,419
Honolulu,Hawaii,1299,598,542
Louisville,Kentucky,1276,672,628
Asheville,North Carolina,1257,577,497
Sarasota,Florida,1256,554,514
Savannah,Georgia,1236,615,561
Long Beach,California,1209,486,454
Raleigh,North Carolina,1184,543,504
Bend,Oregon,1158,464,410
Omaha,Nebraska,1138,638,606
Salt Lake City,Utah,1110,579,515
Kansas City,Missouri,1099,536,499
Minneapolis,Minnesota,1090,449,390
Richmond,Virginia,1075,562,513
Fresno,California,1070,390,355
Wilmington,North Carolina,1064,497,440
Aurora,Colorado,1062,397,352
Mesa,Arizona,1049,451,413
Santa Rosa,California,1048,382,352
Palm Springs,California,1023,483,462
Fort Myers,Florida,996,476,454
Spokane,Washington,994,461,415
Milwaukee,Wisconsin,980,506,458
Fort Lauderdale,Florida,978,400,358
Cincinnati,Ohio,959,497,476
Fort Worth,Texas,956,385,364
Naples,Florida,945,450,428
Durham,North Carolina,930,455,412
Charlottesville,Virginia,918,526,473
Oklahoma City,Oklahoma,868,439,407
Pittsburgh,Pennsylvania,857,441,419
Bakersfield,California,856,363,334
Billings,Montana,854,424,359
Columbia,South Carolina,841,381,358
Pensacola,Florida,834,345,307
Flagstaff,Arizona,818,377,338
Lexington,Kentucky,814,485,452
Norfolk,Virginia,809,364,321
Rochester,New York,803,505,469
El Paso,Texas,792,267,251
Memphis,Tennessee,782,361,331
Greenville,South Carolina,781,386,358
Cleveland,Ohio,778,370,343
Winston Salem,North Carolina,777,443,414
Santa Fe,New Mexico,770,383,348
Santa Barbara,California,761,343,290
Cape Coral,Florida,756,363,346
Redding,California,747,273,247
Virginia Beach,Virginia,736,274,248
Myrtle Beach,South Carolina,730,330,309
Vancouver,Washington,728,310,275
Portland,Maine,726,304,263
Augusta,Georgia,720,354,330
Kissimmee,Florida,704,264,250
Eugene,Oregon,689,284,247
Palm Desert,California,679,343,324
Coeur D Alene,Idaho,679,258,232
Tulsa,Oklahoma,657,335,300
Knoxville,Tennessee,654,359,325
Henderson,Nevada,645,256,232
Grand Junction,Colorado,643,288,258
Panama City Beach,Florida,638,257,239
Modesto,California,629,237,222
Tallahassee,Florida,609,263,249
Tempe,Arizona,606,258,243
West Palm Beach,Florida,603,256,236
Salem,Oregon,600,334,308
Birmingham,Alabama,599,252,242
Oceanside,California,592,223,204
Lakewood,Colorado,583,232,213
Lake Havasu City,Arizona,578,260,250
Roanoke,Virginia,572,330,316
Gilbert,Arizona,570,215,201
Gainesville,Florida,569,245,224
Chattanooga,Tennessee,566,253,239
Bradenton,Florida,565,280,267
Glendale,Arizona,565,254,238
Bozeman,Montana,562,241,212
Chandler,Arizona,553,232,213
Fort Collins,Colorado,544,243,211
Medford,Oregon,543,233,205
Greensboro,North Carolina,539,293,277
Santa Cruz,California,538,209,178
Bronx,New York,533,186,174
Fayetteville,North Carolina,530,237,227
Decatur,Georgia,530,204,194
Rapid City,South Dakota,527,269,252
Clearwater,Florida,524,251,230
Buffalo,New York,522,265,246
Bellingham,Washington,522,222,182
Stockton,California,514,212,198
Little Rock,Arkansas,514,257,235
Saint Paul,Minnesota,505,225,206
Alexandria,Virginia,494,201,176
Prescott,Arizona,480,230,215
Huntington Beach,California,479,181,160
Lynchburg,Virginia,476,229,216
Riverside,California,474,191,181
St Louis,Missouri,473,293,266
Springfield,Missouri,469,261,250
Ventura,California,461,217,191
Saint Augustine,Florida,460,209,191
Napa,California,459,163,148
Berkeley,California,459,175,142
Kailua,Hawaii,456,153,132
Clovis,California,452,163,147
Corpus Christi,Texas,451,183,177
Madison,Wisconsin,450,253,225
Littleton,Colorado,449,157,137
Boulder,Colorado,446,196,170
Roseville,California,445,163,153
Port Saint Lucie,Florida,437,158,144
Olympia,Washington,434,210,194
Arvada,Colorado,432,164,143
New Haven,Connecticut,431,194,169
Kailua Kona,Hawaii,428,176,153
Marietta,Georgia,427,148,135
Pueblo,Colorado,425,212,197
Davenport,Florida,423,157,149
Hilo,Hawaii,420,193,178
Arlington,Texas,420,176,162
Vallejo,California,418,146,139
Baton Rouge,Louisiana,415,183,167
Carlsbad,California,413,164,154
Providence,Rhode Island,413,163,145
San Luis Obispo,California,413,191,174
Hollywood,Florida,410,151,139
Galveston,Texas,410,152,138
Grand Rapids,Michigan,390,188,167
Sioux Falls,South Dakota,390,241,224
Surprise,Arizona,388,206,196
Inglewood,California,388,143,130
Visalia,California,386,145,140
Fort Wayne,Indiana,386,195,186
Detroit,Michigan,385,140,133
La Quinta,California,383,168,162
Chula Vista,California,383,134,119
Chico,California,378,151,138
Santa Monica,California,373,125,118
Dayton,Ohio,367,192,178
Missoula,Montana,363,151,126
Walnut Creek,California,362,148,135
Newark,New Jersey,361,142,134
Traverse City,Michigan,360,169,151
Peoria,Arizona,356,167,154
Everett,Washington,352,188,176
South Lake Tahoe,California,352,144,136
Burlington,Vermont,351,158,132
Syracuse,New York,351,194,184
Eureka,California,348,164,153
Daytona Beach,Florida,347,142,129
Mount Pleasant,South Carolina,345,150,131
Concord,California,342,143,132
Anaheim,California,342,113,105
Bangor,Maine,338,174,152
Ashland,Oregon,335,130,112
Arlington,Virginia,334,140,124
Montgomery,Alabama,332,193,191
Lake Worth,Florida,331,151,143
Vero Beach,Florida,330,127,119
Yuma,Arizona,328,192,185
Grants Pass,Oregon,328,136,128
Englewood,Colorado,328,125,117
Kalispell,Montana,327,116,106
Venice,Florida,323,159,146
Meridian,Idaho,320,109,100
Cathedral City,California,320,160,147
Summerville,South Carolina,316,144,135
Puyallup,Washington,314,127,120
Lawrenceville,Georgia,314,99,91
Silver Spring,Maryland,313,113,105
Columbia,Missouri,311,187,168
La Mesa,California,311,131,120
Old Orchard Beach,Maine,311,160,144
Indio,California,310,138,136
Bremerton,Washington,309,152,146
Loveland,Colorado,308,114,106
Oxnard,California,308,129,121
North Charleston,South Carolina,305,137,129
Albany,New York,304,164,150
Des Moines,Iowa,303,174,163
Greenville,North Carolina,300,170,163
Port Charlotte,Florida,300,133,124
Ocala,Florida,300,129,123
Queens,New York,297,92,87
Renton,Washington,294,116,108
Escondido,California,294,109,97
Hampton,Virginia,291,134,113
Elk Grove,California,291,95,86
