Word,Frequency,Total Impressions,Total Clicks,Total ff_purchases,Total Cost,Total ff_leads,Total ff_BRSubmit,Total ff_DMSubmit,Total ff_PhoneGet,Total Cost Per Click,Total Cost Per ff_purchases,Total ff_purchases_lead Rate,Total ff_purchases Rate,Total ff_leads_BRSubmit_rate,Total Click Thru Rate
nurse,1588,258243,109164,1975.27,602768.2499999984,11523.84,3106.19,4286.71,8019.91,5.52,305.16,0.17,0.02,3.71,0.42
travel,1383,238623,92674,1677.42,525389.5399999998,10128.61,2562.97,3276.25,6376.02,5.67,313.21,0.17,0.02,3.95,0.39
housing,2980,181052,66164,1272.1,304516.7099999998,7424.68,3140.92,4215.46,7696.38,4.6,239.38,0.17,0.02,2.36,0.37
rental,18594,508316,130019,520.21,298739.0100000033,4418.82,3824.32,4209.48,8558.12,2.3,574.27,0.12,0.0,1.16,0.26
furnished,10565,301331,92723,414.47,154173.33000000028,2007.9,3575.6,5859.54,10017.33,1.66,371.98,0.21,0.0,0.56,0.31
rent,11859,243284,69195,249.09,199929.16999999873,5230.67,672.04,1101.34,2257.38,2.89,802.64,0.05,0.0,7.78,0.28
to,3169,115125,33858,185.34,149550.6700000001,2155.55,587.69,456.46,1193.14,4.42,806.9,0.09,0.01,3.67,0.29
website,442,31976,10900,174.08,60072.2,1019.27,290.83,308.13,733.21,5.51,345.08,0.17,0.02,3.5,0.34
term,11074,277678,61717,139.14,123517.30999999933,1275.28,2247.9,2407.72,5300.17,2.0,887.72,0.11,0.0,0.57,0.22
finder,200,17421,8615,110.8,22046.689999999995,480.3,271.0,587.88,918.96,2.56,198.98,0.23,0.01,1.77,0.49
for,10041,165605,43860,105.18,100123.35000000003,2703.97,622.63,912.85,1594.35,2.28,951.92,0.04,0.0,4.34,0.26
room,3734,68162,18338,104.19,65802.20999999986,2168.52,186.85,208.57,512.53,3.59,631.56,0.05,0.01,11.61,0.27
apartment,10434,209811,56299,95.28,100644.61999999973,1099.14,1939.21,2680.5,4972.4,1.79,1056.3,0.09,0.0,0.57,0.27
short,6946,191263,43297,79.68,98834.41000000002,845.46,1937.74,1891.18,4652.42,2.28,1240.39,0.09,0.0,0.44,0.23
house,3197,62843,20123,54.37,41373.860000000066,1645.3,211.88,231.48,669.92,2.06,760.97,0.03,0.0,7.77,0.32
home,1923,54022,16339,54.03,35938.87000000009,1030.63,262.07,328.11,721.49,2.2,665.17,0.05,0.0,3.93,0.3
corporate,1807,52371,10249,47.3,29197.110000000026,583.38,389.74,385.21,708.51,2.85,617.28,0.08,0.0,1.5,0.2
fully,832,32539,9587,35.8,12564.349999999997,237.06,360.24,585.36,1098.9,1.31,350.96,0.15,0.0,0.66,0.29
mid,68,10175,2622,34.71,5395.729999999999,155.16,29.03,23.9,48.87,2.06,155.45,0.22,0.01,5.34,0.26
find,224,9815,4768,34.5,4404.299999999994,391.57,156.02,279.15,524.68,0.92,127.66,0.09,0.01,2.51,0.49
visiting,15,4334,2236,33.82,14446.910000000002,211.29,11.59,24.98,70.95,6.46,427.17,0.16,0.02,18.23,0.52
com,319,11826,3074,32.07,6670.849999999998,127.56,84.97,164.74,275.12,2.17,208.01,0.25,0.01,1.5,0.26
professional,62,8995,2579,31.79,12662.080000000002,162.03,74.5,81.66,153.38,4.91,398.3,0.2,0.01,2.17,0.29
airbnb,3345,81178,16471,26.58,33973.25000000002,1138.18,400.58,341.5,644.04,2.06,1278.15,0.02,0.0,2.84,0.2
nursefinders,9,2160,2024,26.26,8082.29,117.45,111.97,116.76,302.61,3.99,307.78,0.22,0.01,1.05,0.94
long,4449,80834,16921,24.75,21003.090000000066,293.66,321.61,513.08,689.89,1.24,848.61,0.08,0.0,0.91,0.21
how,376,11922,3041,20.63,13350.429999999995,178.1,1.0,2.0,9.51,4.39,647.14,0.12,0.01,178.1,0.26
my,363,14786,4059,20.03,18027.109999999986,416.8,10.0,10.0,107.92,4.44,900.01,0.05,0.0,41.68,0.27
program,43,5081,1169,18.23,7044.710000000002,124.5,14.13,0.0,15.15,6.03,386.43,0.15,0.02,8.81,0.23
furnish,36,3295,2045,17.96,1295.7899999999997,77.81,69.25,87.0,180.91,0.63,72.15,0.23,0.01,1.12,0.62
list,167,6258,1233,17.55,6762.950000000002,169.47,0.0,0.0,3.42,5.48,385.35,0.1,0.01,0,0.2
me,2490,99907,25071,17.37,35665.51000000003,1496.32,459.93,640.08,1070.74,1.42,2053.28,0.01,0.0,3.25,0.25
near,2844,101486,25631,17.37,36479.520000000004,1298.32,471.93,671.58,1133.91,1.42,2100.15,0.01,0.0,2.75,0.25
property,399,11932,3491,17.02,9696.000000000007,185.08,12.94,17.45,36.09,2.78,569.68,0.09,0.0,14.3,0.29
lodging,25,2449,956,15.99,4833.74,76.0,9.61,12.22,13.77,5.06,302.3,0.21,0.02,7.91,0.39
accommodation,110,3154,1154,14.19,6668.25,102.08,9.19,33.23,58.43,5.78,469.93,0.14,0.01,11.11,0.37
san,1005,18660,4560,14.09,11485.160000000013,104.73,234.28,280.38,402.69,2.52,815.13,0.13,0.0,0.45,0.24
agency,184,14003,3311,13.36,9775.309999999998,118.91,0.0,0.0,3.16,2.95,731.68,0.11,0.0,0,0.24
diego,366,8727,2274,11.85,6414.230000000009,59.07,134.54,152.7,235.59,2.82,541.29,0.2,0.01,0.44,0.26
in,8824,70799,23345,10.66,36160.04000000021,535.29,384.53,640.67,1054.35,1.55,3392.12,0.02,0.0,1.39,0.33
