Word,Frequency,Total Impressions,Total Clicks,Total ff_purchases,Total Cost,Total ff_leads,Total ff_BRSubmit,Total ff_DMSubmit,Total ff_PhoneGet,Total Cost Per Click,Total Cost Per ff_purchases,Total ff_purchases_lead Rate,Total ff_purchases Rate,Total ff_leads_BRSubmit_rate,Total Click Thru Rate
nurse,1234,245327,104900,1939.06,581474.9099999977,11315.41,2988.42,4126.28,7779.62,5.54,299.87,0.17,0.02,3.79,0.43
travel,1091,225941,88696,1641.55,504346.25999999995,9919.18,2445.21,3115.82,6135.73,5.69,307.24,0.17,0.02,4.06,0.39
housing,1134,149556,58061,1241.59,276089.8300000006,7135.35,2775.21,3803.8,7027.04,4.76,222.37,0.17,0.02,2.57,0.39
rental,5471,271366,74229,485.71,205064.99000000147,3890.82,1849.0,2130.97,4238.35,2.76,422.2,0.12,0.01,2.1,0.27
furnished,2786,145585,50119,350.71,78665.97999999998,1618.36,1993.04,3602.07,6024.07,1.57,224.3,0.22,0.01,0.81,0.34
rent,6287,197374,57497,239.92,183370.85000000036,4665.86,443.94,713.78,1567.58,3.19,764.3,0.05,0.0,10.51,0.29
to,1798,86638,26778,185.34,138215.10000000015,2113.55,282.09,233.41,741.46,5.16,745.74,0.09,0.01,7.49,0.31
website,438,31941,10889,174.08,60059.31999999999,1019.27,290.83,308.13,733.21,5.52,345.01,0.17,0.02,3.5,0.34
term,3089,127749,28771,120.64,61939.54999999957,943.14,880.82,1038.49,2298.9,2.15,513.42,0.13,0.0,1.07,0.23
finder,186,17363,8598,110.8,22014.539999999997,479.3,270.0,587.88,914.96,2.56,198.69,0.23,0.01,1.78,0.5
room,1398,53099,13868,99.88,60264.30000000001,1769.46,133.93,136.26,363.44,4.35,603.37,0.06,0.01,13.21,0.26
for,4920,120442,32554,96.01,84265.54999999996,2183.16,400.48,539.57,961.96,2.59,877.67,0.04,0.0,5.45,0.27
short,1530,73809,17391,65.18,45383.84999999993,553.32,694.72,690.34,1872.11,2.61,696.28,0.12,0.0,0.8,0.24
house,2213,57197,18308,52.51,38799.900000000016,1579.3,182.43,193.31,519.72,2.12,738.9,0.03,0.0,8.66,0.32
home,1233,47807,14321,51.03,33052.44000000008,980.63,220.11,232.66,531.38,2.31,647.71,0.05,0.0,4.46,0.3
apartment,3107,99139,25743,49.04,47592.01000000011,770.07,776.91,1049.1,2180.35,1.85,970.47,0.06,0.0,0.99,0.26
corporate,524,32160,5517,37.3,17067.76999999999,436.55,199.17,138.4,340.02,3.09,457.58,0.09,0.01,2.19,0.17
fully,460,24549,7784,35.56,8953.540000000005,212.06,294.07,468.93,800.34,1.15,251.79,0.17,0.0,0.72,0.32
find,219,9701,4712,34.5,4344.989999999994,391.57,156.02,279.15,524.68,0.92,125.94,0.09,0.01,2.51,0.49
visiting,13,4332,2234,33.82,14428.110000000002,211.29,11.59,24.98,70.95,6.46,426.61,0.16,0.02,18.23,0.52
mid,57,9806,2541,33.71,5285.199999999997,153.16,29.03,23.9,48.87,2.08,156.78,0.22,0.01,5.28,0.26
com,279,11499,2986,32.07,6426.289999999995,125.56,84.92,164.74,275.12,2.15,200.38,0.26,0.01,1.48,0.26
professional,62,8995,2579,31.79,12662.080000000002,162.03,74.5,81.66,153.38,4.91,398.3,0.2,0.01,2.17,0.29
nursefinders,7,2153,2022,26.26,8080.5199999999995,117.45,111.97,116.76,302.61,4.0,307.71,0.22,0.01,1.05,0.94
airbnb,1085,57826,10937,24.58,24237.110000000022,700.24,322.61,225.63,547.98,2.22,986.05,0.04,0.0,2.17,0.19
long,1633,46488,9288,20.75,11948.29000000006,245.66,181.99,324.25,404.49,1.29,575.82,0.08,0.0,1.35,0.2
how,330,11557,2966,20.63,13130.639999999994,175.1,1.0,2.0,9.51,4.43,636.48,0.12,0.01,175.1,0.26
my,325,14397,3953,20.03,17866.989999999983,410.8,10.0,10.0,107.92,4.52,892.01,0.05,0.01,41.08,0.27
program,41,5077,1166,18.23,7039.690000000001,124.5,14.13,0.0,15.15,6.04,386.16,0.15,0.02,8.81,0.23
furnish,33,3281,2040,17.96,1291.3799999999999,77.81,69.25,87.0,180.91,0.63,71.9,0.23,0.01,1.12,0.62
list,165,6252,1229,17.55,6753.8200000000015,169.47,0.0,0.0,3.42,5.5,384.83,0.1,0.01,0,0.2
me,2417,99208,24898,17.37,35310.35000000005,1488.32,459.93,640.08,1069.74,1.42,2032.84,0.01,0.0,3.24,0.25
near,2491,99304,24951,17.37,35292.680000000015,1268.32,461.93,645.08,1072.74,1.41,2031.82,0.01,0.0,2.75,0.25
property,325,11313,3313,17.02,9503.92,182.08,12.68,17.45,36.09,2.87,558.4,0.09,0.01,14.36,0.29
lodging,21,2439,952,15.99,4826.3,76.0,9.61,12.22,13.77,5.07,301.83,0.21,0.02,7.91,0.39
accommodation,81,3111,1124,14.19,6618.649999999999,102.08,9.19,33.23,58.43,5.89,466.43,0.14,0.01,11.11,0.36
medical,50,3169,953,10.26,5036.969999999998,47.25,26.54,19.82,71.83,5.29,490.93,0.22,0.01,1.78,0.3
where,110,5330,955,10.1,5782.17,111.0,1.0,6.54,11.36,6.05,572.49,0.09,0.01,111.0,0.18
can,66,4852,1461,10.05,6961.489999999999,92.83,0.0,0.0,4.42,4.76,692.69,0.11,0.01,0,0.3
looking,112,4052,1066,9.0,6859.930000000002,126.44,1.0,4.08,18.64,6.44,762.21,0.07,0.01,126.44,0.26
temporary,283,13787,3399,9.0,10377.040000000003,130.65,169.38,112.68,215.94,3.05,1153.0,0.07,0.0,0.77,0.25
much,75,6829,2192,8.63,9047.330000000002,78.5,0.0,1.0,8.51,4.13,1048.36,0.11,0.0,0,0.32
a,1010,15916,5338,8.02,9900.83000000001,879.21,13.65,17.43,35.5,1.85,1234.52,0.01,0.0,64.41,0.34
gypsy,20,2064,401,8.0,1870.8899999999996,32.42,5.88,16.98,23.6,4.67,233.86,0.25,0.02,5.51,0.19
doctor,14,1623,474,7.98,2968.31,41.54,9.0,7.97,22.95,6.26,371.97,0.19,0.02,4.62,0.29
app,83,3693,931,7.5,6314.009999999995,105.23,13.56,2.13,15.48,6.78,841.87,0.07,0.01,7.76,0.25
best,218,4658,1639,7.0,4446.899999999996,76.93,9.06,20.13,63.06,2.71,635.27,0.09,0.0,8.49,0.35
finding,40,1860,1065,7.0,1377.35,54.0,73.68,54.7,159.01,1.29,196.76,0.13,0.01,0.73,0.57
