Word,Co-occurring Word 1,Co-occurring Word 2,Co-occurring Word 3,Co-occurring Word 4,Total ff_purchases
housing,nurse,travel,,,,452.94
nurse,housing,travel,,,,452.94
travel,housing,nurse,,,,452.94
traveling,housing,nurses,,,,190.19
nurses,housing,traveling,,,,190.19
travel,furnished,housing,nurse,,,140.61
furnished,housing,nurse,travel,,,140.61
to,nurses,traveling,,,,121.99
rent,nurses,to,,,,97.11
rent,nurses,to,traveling,,,82.9
to,nurses,rent,traveling,,,82.9
short,rentals,term,,,,68.06
term,rentals,short,,,,68.06
rentals,furnished,term,,,,40.24
renting,to,traveling,,,,36.39
rental,nurse,traveling,,,,35.11
short,furnished,rentals,term,,,33.24
term,furnished,rentals,short,,,33.24
nurses,for,housing,traveling,,,31.02
for,housing,nurses,traveling,,,31.02
rooms,nurses,rent,,,,27.34
to,how,nurses,rent,traveling,,23.18
how,nurses,rent,to,traveling,,23.18
site,rental,traveling,,,,22.11
room,nurse,rent,,,,20.65
site,nurse,rental,traveling,,,19.11
websites,housing,nurse,traveling,,,16.97
a,rent,room,,,,14.91
rooms,for,nurses,rent,traveling,,14.72
homes,for,furnished,,,,12.74
near,furnished,me,,,,12.0
me,furnished,near,,,,12.0
professionals,for,traveling,,,,11.12
program,nurses,rental,traveling,,,10.98
fully,furnished,rentals,,,,10.98
diego,housing,san,,,,10.85
san,diego,housing,,,,10.85
homes,for,furnished,rent,,,10.74
a,nurse,rent,room,,,10.39
diego,housing,san,traveling,,,9.58
san,diego,housing,traveling,,,9.58
corporate,housing,my,,,,9.03
house,rent,to,traveling,,,8.0
house,rent,traveling,,,,8.0
looking,for,nurses,,,,8.0
room,nurse,rent,traveling,,,7.88
list,for,my,,,,7.66
apartment,finder,nurse,,,,7.0
medical,housing,professionals,,,,7.0
temporary,for,housing,,,,7.0
list,for,my,property,,,6.66
property,for,list,my,,,6.66
property,for,list,,,,6.66
diego,housing,nurses,san,traveling,,6.58
san,diego,housing,nurses,traveling,,6.58
make,how,to,,,,6.39
legit,housing,is,nurse,travel,,6.0
is,housing,legit,nurse,travel,,6.0
legit,is,nurse,travel,,,6.0
los,angeles,furnished,,,,6.0
angeles,furnished,los,,,,6.0
corporate,for,housing,my,,,5.66
renting,can,make,nurses,to,traveling,5.39
make,can,how,nurses,to,traveling,5.39
can,how,make,nurses,to,traveling,5.39
renting,make,nurses,to,traveling,,5.39
make,how,nurses,to,traveling,,5.39
make,how,nurses,to,,,5.39
can,make,nurses,to,,,5.39
can,make,to,,,,5.39
best,housing,nurse,sites,travel,,5.0
best,nurse,sites,travel,,,5.0
medical,for,housing,professionals,,,5.0
looking,for,housing,nurses,,,5.0
best,nurse,sites,,,,5.0
doctors,and,for,housing,nurses,traveling,4.98
and,doctors,for,housing,nurses,traveling,4.98
doctors,for,housing,nurses,traveling,,4.98
and,doctors,for,nurses,traveling,,4.98
and,doctors,nurses,traveling,,,4.98
finders,com,furnish,,,,4.96
i,can,corporate,for,list,my,4.66
i,can,for,list,my,,4.66
list,for,my,property,where,,4.66
where,for,housing,list,property,,4.66
property,for,list,my,where,,4.66
i,can,list,my,,,4.66
where,for,housing,list,,,4.66
i,list,my,,,,4.66
where,housing,list,,,,4.66
a,nurse,rent,room,to,,4.61
my,corporate,rent,,,,4.37
